id,kode_sumber,entitas_parent,entitas_child,kategori,tahun,periode,nilai,created_at
65,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,,nan,2010,Tahunan,2127840.68,2026-07-09 11:56:13.319
66,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Bangunan,nan,2010,Triwulan I,379699.3,2026-07-09 11:56:13.319
67,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Bangunan,nan,2010,Triwulan II,391250.79,2026-07-09 11:56:13.319
68,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Bangunan,nan,2010,Triwulan III,404412.62,2026-07-09 11:56:13.319
69,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Bangunan,nan,2010,Triwulan IV,405072.3,2026-07-09 11:56:13.319
70,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Bangunan,nan,2010,Tahunan,1580435.01,2026-07-09 11:56:13.319
71,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Mesin dan Perlengkapan,nan,2010,Triwulan I,49206.09,2026-07-09 11:56:13.319
72,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Mesin dan Perlengkapan,nan,2010,Triwulan II,53400.61,2026-07-09 11:56:13.319
73,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Mesin dan Perlengkapan,nan,2010,Triwulan III,56955.73,2026-07-09 11:56:13.319
74,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Mesin dan Perlengkapan,nan,2010,Triwulan IV,60815.32,2026-07-09 11:56:13.319
75,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Mesin dan Perlengkapan,nan,2010,Tahunan,220377.75,2026-07-09 11:56:13.319
76,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Kendaraan,nan,2010,Triwulan I,29429.4,2026-07-09 11:56:13.319
77,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Kendaraan,nan,2010,Triwulan II,29308.91,2026-07-09 11:56:13.319
78,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Kendaraan,nan,2010,Triwulan III,32545.62,2026-07-09 11:56:13.319
79,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Kendaraan,nan,2010,Triwulan IV,31810.9,2026-07-09 11:56:13.319
80,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Kendaraan,nan,2010,Tahunan,123094.83,2026-07-09 11:56:13.319
81,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Peralatan Lainnya,nan,2010,Triwulan I,6949.25,2026-07-09 11:56:13.319
82,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Peralatan Lainnya,nan,2010,Triwulan II,7341.22,2026-07-09 11:56:13.319
83,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Peralatan Lainnya,nan,2010,Triwulan III,7855.84,2026-07-09 11:56:13.319
84,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Peralatan Lainnya,nan,2010,Triwulan IV,8614.76,2026-07-09 11:56:13.319
85,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Peralatan Lainnya,nan,2010,Tahunan,30761.07,2026-07-09 11:56:13.319
86,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,CBR,nan,2010,Triwulan I,26425.76,2026-07-09 11:56:13.319
87,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,CBR,nan,2010,Triwulan II,29271.57,2026-07-09 11:56:13.319
88,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,CBR,nan,2010,Triwulan III,30394.5,2026-07-09 11:56:13.319
89,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,CBR,nan,2010,Triwulan IV,39571.61,2026-07-09 11:56:13.319
90,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,CBR,nan,2010,Tahunan,125663.44,2026-07-09 11:56:13.319
91,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Produk Kekayaan Intelektual,nan,2010,Triwulan I,11163.76,2026-07-09 11:56:13.319
92,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Produk Kekayaan Intelektual,nan,2010,Triwulan II,12898.6,2026-07-09 11:56:13.319
93,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Produk Kekayaan Intelektual,nan,2010,Triwulan III,9512.43,2026-07-09 11:56:13.319
94,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Produk Kekayaan Intelektual,nan,2010,Triwulan IV,13933.79,2026-07-09 11:56:13.319
95,s20102ptadhkmp2010,Pembentukan Modal Tetap Domestik Bruto,Produk Kekayaan Intelektual,nan,2010,Tahunan,47508.58,2026-07-09 11:56:13.319
96,s20102ptadhkmp2010,Perubahan Inventori,,nan,2010,Triwulan I,25406.36,2026-07-09 11:56:13.319
97,s20102ptadhkmp2010,Perubahan Inventori,,nan,2010,Triwulan II,50400.53,2026-07-09 11:56:13.319
98,s20102ptadhkmp2010,Perubahan Inventori,,nan,2010,Triwulan III,81674.62,2026-07-09 11:56:13.319
99,s20102ptadhkmp2010,Perubahan Inventori,,nan,2010,Triwulan IV,-28386.91,2026-07-09 11:56:13.319
100,s20102ptadhkmp2010,Perubahan Inventori,,nan,2010,Tahunan,129094.6,2026-07-09 11:56:13.319
101,s20102ptadhkmp2010,Ekspor Barang dan Jasa,,nan,2010,Triwulan I,394901.82,2026-07-09 11:56:13.319
102,s20102ptadhkmp2010,Ekspor Barang dan Jasa,,nan,2010,Triwulan II,400357.77,2026-07-09 11:56:13.319
103,s20102ptadhkmp2010,Ekspor Barang dan Jasa,,nan,2010,Triwulan III,405394.73,2026-07-09 11:56:13.319
104,s20102ptadhkmp2010,Ekspor Barang dan Jasa,,nan,2010,Triwulan IV,467263.51,2026-07-09 11:56:13.319
105,s20102ptadhkmp2010,Ekspor Barang dan Jasa,,nan,2010,Tahunan,1667917.83,2026-07-09 11:56:13.319
106,s20102ptadhkmp2010,Ekspor Barang dan Jasa,Barang,nan,2010,Triwulan I,360918.54,2026-07-09 11:56:13.319
107,s20102ptadhkmp2010,Ekspor Barang dan Jasa,Barang,nan,2010,Triwulan II,365040.04,2026-07-09 11:56:13.319
108,s20102ptadhkmp2010,Ekspor Barang dan Jasa,Barang,nan,2010,Triwulan III,367923.02,2026-07-09 11:56:13.319
109,s20102ptadhkmp2010,Ekspor Barang dan Jasa,Barang,nan,2010,Triwulan IV,426413.37,2026-07-09 11:56:13.319
110,s20102ptadhkmp2010,Ekspor Barang dan Jasa,Barang,nan,2010,Tahunan,1520294.97,2026-07-09 11:56:13.319
111,s20102ptadhkmp2010,Ekspor Barang dan Jasa,Barang Non-migas,nan,2010,Triwulan I,303239.85,2026-07-09 11:56:13.319
112,s20102ptadhkmp2010,Ekspor Barang dan Jasa,Barang Non-migas,nan,2010,Triwulan II,304827.69,2026-07-09 11:56:13.319
113,s20102ptadhkmp2010,Ekspor Barang dan Jasa,Barang Non-migas,nan,2010,Triwulan III,312395.88,2026-07-09 11:56:13.319
114,s20102ptadhkmp2010,Ekspor Barang dan Jasa,Barang Non-migas,nan,2010,Triwulan IV,346507.31,2026-07-09 11:56:13.319
115,s20102ptadhkmp2010,Ekspor Barang dan Jasa,Barang Non-migas,nan,2010,Tahunan,1266970.72,2026-07-09 11:56:13.319
116,s20102ptadhkmp2010,Ekspor Barang dan Jasa,Barang migas,nan,2010,Triwulan I,57678.69,2026-07-09 11:56:13.319
117,s20102ptadhkmp2010,Ekspor Barang dan Jasa,Barang migas,nan,2010,Triwulan II,60212.36,2026-07-09 11:56:13.319
118,s20102ptadhkmp2010,Ekspor Barang dan Jasa,Barang migas,nan,2010,Triwulan III,55527.14,2026-07-09 11:56:13.319
