var_id,title,sub_id,sub_name,subcsa_id,subcsa_name,def,notes,vertical,unit,graph_id,graph_name
558,Persentase Penduduk Usia 5 Tahun ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Lokasi,2,Komunikasi,565.0,Masyarakat Informasi,,"&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;
Catatan: 
&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;- Pembagi adalah total penduduk yang mengakses internet
&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;- Nilai untuk tahun 2018 tidak tersedia&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;",1,Tidak Ada Satuan,1.0,bar
560,Persentase Rumah Tangga yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Lokasi,2,Komunikasi,565.0,Masyarakat Informasi,,"&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Catatan:&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt; 
- Pembagi adalah total rumah tangga  yang mengakses internet
&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;- Nilai untuk tahun 2018 tidak tersedia&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;",357,Tidak Ada Satuan,1.0,bar
656,Persentase Penduduk Berumur 5 Tahun ke Atas yang Mengakses Internet Selama Tiga Bulan Terakhir  menurut Provinsi dan Tipe Daerah ,2,Komunikasi,565.0,Masyarakat Informasi,,"&lt;p&gt;Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).&lt;/p&gt;&lt;p&gt;Catatan:&lt;/p&gt;&lt;p&gt;- Untuk perkotaan, pembagi adalah total penduduk di daerah perkotaan&lt;/p&gt;&lt;p&gt;- Untuk perdesaan, pembagi adalah total penduduk di daerah perdesaan&lt;/p&gt;&lt;p&gt;- Untuk perkotaan+perdesaan, pembagi adalah total penduduk di daerah perkotaan dan perdesaan&lt;/p&gt;",1,Tidak Ada Satuan,1.0,bar
840,Persentase Penduduk Usia 5 Tahun ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Kelompok Umur,2,Komunikasi,565.0,Masyarakat Informasi,,"&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Catatan: 
- Pembagi adalah total penduduk yang mengakses internet
&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;",212,Persen,1.0,bar
858,Persentase Penduduk Usia 5 Tahun ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Media,2,Komunikasi,565.0,Masyarakat Informasi,,"&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Catata:&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;- Pembagi adalah total penduduk yang mengakses internet&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;- Jawaban dapat lebih dari satu&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;- Nilai untuk tahun 2018 tidak tersedia&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;",152,Persen,1.0,bar
860,Persentase Penduduk Usia 5 Tahun ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Jenjang Pendidikan Tertinggi yang Ditamatkan,2,Komunikasi,565.0,Masyarakat Informasi,,"&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Catatan:&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;- Pembagi adalah total penduduk yang mengakses internet&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;- 2018 adalah angka revisi&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;",214,Persen,1.0,bar
871,Persentase Penduduk Usia 5 Tahun ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Lokasi,2,Komunikasi,565.0,Masyarakat Informasi,,"&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).
&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Catatan:&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;- Pembagi adalah total penduduk yang mengakses internet&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;- Jawaban dapat lebih dari satu&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;- Nilai untuk tahun 2018 tidak tersedia&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;",153,Persen,1.0,bar
968,Persentase Judul Film yang Ditayangkan oleh Perusahaan Bioskop Menurut Genre,2,Komunikasi,565.0,Masyarakat Informasi,,"&lt;p&gt;Sumber: BPS, Survei Perusahaan Informasi dan Komunikasi 2013‒2014 dan 2017, Survei Karakteristik Usaha 2019.&lt;/p&gt;&lt;p&gt;Catatan:&lt;/p&gt;&lt;p&gt;- Survei Perusahaan Informasi dan Komunikasi terakhir dilaksanakan tahun 2015; survei dilakukan kembali pada tahun 2018.&lt;/p&gt;&lt;p&gt;- Pada tahun 2019 Survei Perusahaan Informasi dan Komunikasi berubah menjadi Survei Karakteristik Usaha.&lt;/p&gt;&lt;p&gt;- Survei Karakteristik Usaha 2020 tidak dapat menghasilkan indikator ini untuk tahun data 2019 karena Pandemi Covid-19.&lt;/p&gt;",239,Persen,1.0,bar
983,Jumlah Pelanggan Telepon Indonesia menurut Jenis Penyelenggaraan Jaringan,2,Komunikasi,565.0,Masyarakat Informasi,,&lt;p&gt;Sumber: Kementrian Komunikasi dan Informatika&lt;/p&gt;,241,Tidak Ada Satuan,1.0,bar
984,Persentase Oplah Penerbitan Berkala oleh Perusahaan Penerbit Menurut Jenis/Kategori,2,Komunikasi,565.0,Masyarakat Informasi,,"&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Sumber: BPS, Survei Perusahaan Informasi dan Komunikasi.&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Catatan:&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;- Survei terakhir dilaksanakan tahun 2015.&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;",242,Persen,1.0,bar
1670,Persentase Rumah Tangga yang Memiliki/Menguasai Komputer Menurut Provinsi dan Sumber Penerangan Rumah Tangga,2,Komunikasi,565.0,Masyarakat Informasi,,"&lt;p&gt;Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).&lt;/p&gt;&lt;p&gt;Catatan: 
- Pembagi adalah total rumah tangga yang memiliki komputer&lt;br /&gt;&lt;/p&gt;",1,Persen,1.0,bar
