tahun,bulan,page_url
2020,MEI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2020.aspx
2020,APRIL,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2020.aspx
2020,MARET,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MARET-2020.aspx
2020,FEBRUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-FEBRUARI-2020.aspx
2020,JANUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JANUARI-2020.aspx
2019,DESEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2019.aspx
2019,NOVEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-NOVEMBER-2019.aspx
2019,OKTOBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-OKTOBER-2019.aspx
2019,SEPTEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-SEPTEMBER-2019.aspx
2019,AGUSTUS,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-AGUSTUS-2019.aspx
2019,JULI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JULI-2019.aspx
2019,JUNI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JUNI-2019.aspx
2019,MEI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2019.aspx
2019,APRIL,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2019.aspx
2019,MARET,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MARET-2019.aspx
2019,FEBRUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-FEBRUARI2019.aspx
2019,JANUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JANUARI-2019.aspx
2018,DESEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2018.aspx
2018,NOVEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-NOVEMBER-2018.aspx
2018,OKTOBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-OKTOBER-2018.aspx
2018,SEPTEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-SEPTEMBER-2018.aspx
2018,AGUSTUS,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-AGUSTUS-2018.aspx
2018,JULI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JULI-2018.aspx
2018,JUNI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JUNI-2018.aspx
2018,MEI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2018.aspx
2018,APRIL,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2018.aspx
2018,MARET,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MARET-2018.aspx
2018,FEBRUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-FEBRUARI-2018.aspx
2018,JANUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JANUARI-2018.aspx
2017,DESEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2017.aspx
2017,NOVEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-NOVEMBER-2017.aspx
2017,OKTOBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-OKTOBER-2017.aspx
2017,SEPTEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-SEPTEMBER-2017.aspx
2017,AGUSTUS,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-AGUSTUS-2017.aspx
2017,JULI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JULI-2017.aspx
2017,JUNI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JUNI-2017.aspx
2017,MEI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2017.aspx
2017,APRIL,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2017.aspx
2017,MARET,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MARET-2017.aspx
2017,FEBRUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-FEBRUARI-2017.aspx
2017,JANUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JANUARI-2017.aspx
2016,DESEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2016.aspx
2016,NOVEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-NOVEMBER-2016.aspx
2016,OKTOBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-OKTOBER-2016.aspx
2016,SEPTEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-SEPTEMBER-2016.aspx
2016,AGUSTUS,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-Agust-2016.aspx
2016,JULI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JULI-2016.aspx
2016,JUNI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JUNI-2016.aspx
2016,MEI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2016.aspx
2016,APRIL,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2016.aspx
2016,MARET,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MARET-2016.aspx
2016,FEBRUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-FEBRUARI-2016.aspx
2016,JANUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JANUARI-2016.aspx
2015,DESEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2015.aspx
2015,NOVEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-Nov-2015.aspx
2015,OKTOBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI---Oktober-2015.aspx
2015,SEPTEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-SEPTEMBER-2015.aspx
2015,AGUSTUS,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-AGUSTUS-2015.aspx
2015,JULI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JULI2015.aspx
2015,JUNI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI_JUNI_2015.aspx
2015,MEI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI-2015.aspx
2015,APRIL,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL-2015.aspx
2015,MARET,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MARET2015.aspx
2015,FEBRUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-February-2015.aspx
2015,JANUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JANUARI-2015.aspx
2014,DESEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-Des2014.aspx
2014,NOVEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-NOVEMBER-2014.aspx
2014,OKTOBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-OKTOBER2014-tahap1.aspx
2014,SEPTEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-SEPTEMBER-2014.aspx
2014,AGUSTUS,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-AGUSTUS-2014.aspx
2014,JULI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JULI2014.aspx
2014,JUNI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JUNI-2014.aspx
2014,MEI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI2014.aspx
2014,APRIL,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-APRIL2014-tahap1.aspx
2014,MARET,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MARET2014.aspx
2014,FEBRUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-FEBRUARI2014.aspx
2014,JANUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JANUARI-2014.aspx
2013,DESEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-DESEMBER-2013.aspx
2013,NOVEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_1113.aspx
2013,OKTOBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_1013.aspx
2013,SEPTEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0913.aspx
2013,AGUSTUS,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-AGUSTUS2013.aspx
2013,JULI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JULI2013.aspx
2013,JUNI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-JUNI2013.aspx
2013,MEI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0513.aspx
2013,APRIL,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0413.aspx
2013,MARET,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0313.aspx
2013,FEBRUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0213.aspx
2013,JANUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki-201301.aspx
2012,DESEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_1212.aspx
2012,NOVEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_1112.aspx
2012,OKTOBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_1012.aspx
2012,SEPTEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0912.aspx
2012,AGUSTUS,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0812.aspx
2012,JULI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0612-1.aspx
2012,JUNI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0612-2.aspx
2012,MEI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/SEKI-MEI2012.aspx
2012,APRIL,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0412.aspx
2012,MARET,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0312.aspx
2012,FEBRUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0212.aspx
2012,JANUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0112.aspx
2011,DESEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_1211.aspx
2011,NOVEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_1111.aspx
2011,OKTOBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_1011.aspx
2011,SEPTEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0911.aspx
2011,AGUSTUS,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0811.aspx
2011,JULI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0711.aspx
2011,JUNI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0611.aspx
2011,MEI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0511.aspx
2011,APRIL,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0411.aspx
2011,MARET,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0311.aspx
2011,FEBRUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0211.aspx
2011,JANUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0111.aspx
2010,DESEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_1210.aspx
2010,NOVEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_1110.aspx
2010,OKTOBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_1010.aspx
2010,SEPTEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0910.aspx
2010,AGUSTUS,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0810.aspx
2010,JULI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0710.aspx
2010,JUNI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0610.aspx
2010,MEI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0510.aspx
2010,APRIL,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0410.aspx
2010,MARET,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0310.aspx
2010,FEBRUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0210.aspx
2010,JANUARI,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_0110.aspx
2009,DESEMBER,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Pages/seki_1209.aspx
