tahun,bulan,status,detail,timestamp
2018,MEI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_MEI_2018.zip,2026-07-08T12:43:41
2018,APRIL,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_APRIL_2018.zip,2026-07-08T12:43:45
2018,MARET,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_MARET_2018.zip,2026-07-08T12:44:10
2018,FEBRUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_FEBRUARI_2018.zip,2026-07-08T12:44:21
2018,JANUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JANUARI_2018.zip,2026-07-08T12:44:42
2017,DESEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_DESEMBER_2017.zip,2026-07-08T12:44:54
2017,NOVEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_NOVEMBER_2017.zip,2026-07-08T12:45:07
2017,OKTOBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_OKTOBER_2017.zip,2026-07-08T12:45:23
2017,SEPTEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_SEPTEMBER_2017.zip,2026-07-08T12:45:43
2017,AGUSTUS,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_AGUSTUS_2017.zip,2026-07-08T12:45:57
2017,JULI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JULI_2017.zip,2026-07-08T12:46:07
2017,JUNI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JUNI_2017.zip,2026-07-08T12:46:14
2017,MEI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_MEI_2017.zip,2026-07-08T12:46:42
2017,APRIL,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_APR_2017.zip,2026-07-08T12:46:48
2017,MARET,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_MAR_2017.zip,2026-07-08T12:46:56
2017,FEBRUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_FEB_2017.zip,2026-07-08T12:47:02
2017,JANUARI,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_JAN_2017.zip,2026-07-08T12:47:09
2016,DESEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_DES_2016.zip,2026-07-08T12:47:16
2016,NOVEMBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_NOV_2016.zip,2026-07-08T12:47:45
2016,OKTOBER,downloaded,https://www.bi.go.id/id/statistik/ekonomi-keuangan/seki/Documents/SEKI_OKT_2016.zip,2026-07-08T12:47:51
